all|all
paroxysmal|paroxysmal lethargy
myelofibrosis|myelofibrosis
aminoglycoside-induced|aminoglycoside-induced hearing loss
elevated|elevated urinary catecholamines
elevated|elevated urinary homovanillic acid
elevated|elevated urinary vanillylmandelic acid
elevated|elevated urinary dopamine
cholesterol|cholesterol gallstones
pigment|pigment gallstones
black|black pigment gallstones
brown|brown pigment gallstones
atretic|atretic gallbladder
gallbladder|gallbladder atresia
acholic|acholic stools
acholia|acholia
ectopic|ectopic ossification
ectopic|ectopic bone formation
heterotopic|heterotopic ossification
ectopic|ectopic ossification in muscle tissue
ectopic|ectopic ossification in tendon tissue
ectopic|ectopic ossification in ligament tissue
abnormality|abnormality of neutrophil physiology
abnormal|abnormal neutrophil cell number
abnormality|abnormality of neutrophil morphology
impaired|impaired neutrophil bactericidal activity
abnormality|abnormality of the atrial septum
atrial|atrial septal aneurysm
elevated|elevated factor v activity
plasma|plasma factor v elevated
postprandial|postprandial hyperlactemia
postprandial|postprandial hyperglycemia
paranoia|paranoia
eeg|eeg with generalized spikes
eeg|eeg with generalized polyspikes
experiential|experiential auras
affective|affective auras
mnemonic|mnemonic auras
deja|deja vu
jamais|jamais vu
hallucinatory|hallucinatory auras
illusory|illusory auras
eeg|eeg with central focal spike waves
eeg|eeg with frontal focal spike waves
eeg|eeg with occipital focal spike waves
eeg|eeg with parietal focal spike waves
eeg|eeg with temporal focal spike waves
eeg|eeg with central focal spikes
eeg|eeg with frontal focal spikes
eeg|eeg with occipital focal spikes
eeg|eeg with parietal focal spikes
eeg|eeg with temporal focal spikes
lens|lens luxation
right|right aortic arch
right-sided|right-sided aortic arch
persistent|persistent patent ductus venosus
congenital|congenital portosystemic venous shunt
galactosuria|galactosuria
hypergalactosemia|hypergalactosemia
abnormality|abnormality of ornithine metabolism
hyperornithinemia|hyperornithinemia
laryngeal|laryngeal edema
hepatocellular|hepatocellular adenoma
hepatic|hepatic adenoma
liver|liver cell adenoma
abnormality|abnormality of urine hormone level
increased|increased urinary cortisol level
lipomatous|lipomatous tumor
lipoma|lipoma
sacral|sacral lipoma
liposarcoma|liposarcoma
steatocystoma|steatocystoma multiplex
sternocleidomastoid|sternocleidomastoid amyotrophy
pectoralis|pectoralis amyotrophy
corneal|corneal guttata
corneal|corneal endothelial guttata
descemet|descemet membrane folds
corneal|corneal stromal edema
decreased|decreased fertility in males
aspirin-induced|aspirin-induced asthma
pendular|pendular nystagmus
seesaw|seesaw nystagmus
retinal|retinal flecks
areflexia|areflexia of upper limbs
hemeralopia|hemeralopia
oromandibular|oromandibular dystonia
cranial|cranial dystonia
laryngeal|laryngeal dystonia
spasmodic|spasmodic dysphonia
anasarca|anasarca
reactive|reactive hypoglycemia
postprandial|postprandial hypoglycemia 
low|low serum calcitriol (1,25-dihydroxycholecalciferol)
low|low serum calcifediol (25-hydroxycholecalciferol)
choroidal|choroidal melanoma
ciliary|ciliary body melanoma
cutaneous|cutaneous melanoma
superficial|superficial spreading melanoma
nodular|nodular melanoma
lentigo|lentigo maligna melanoma
acral|acral lentiginous melanoma
urinary|urinary excretion of sialylated oligosaccharides
increased|increased urinary sialyloligosaccharides 
bone|bone cyst
aneurysmal|aneurysmal bone cyst
unicameral|unicameral bone cyst
multiple|multiple bony cystic lesions
increased|increased urinary disaccharide excretion
glycopeptiduria|glycopeptiduria
aspartylglucosaminuria|aspartylglucosaminuria
keratan|keratan sulfate excretion in urine
chondroitin|chondroitin sulfate excretion in urine
abnormality|abnormality of acetylcarnitine metabolism
aciduria|aciduria
abnormal|abnormal urinary acylglycine profile
tonic|tonic pupil
adie|adie pupil
adie's|adie's tonic pupil
personality|personality disorder
borderline|borderline personality disorder
histrionic|histrionic personality disorder
motor|motor conduction block
abnormality|abnormality of central motor conduction
cerebellar|cerebellar granular layer atrophy
enlarged|enlarged cerebellum
cerebellar|cerebellar purkinje layer atrophy
ubiquitin-positive|ubiquitin-positive cerebral inclusion bodies
abnormality|abnormality of skeletal muscle fiber size
pyuria|pyuria
abnormal|abnormal urinary color
abnormal|abnormal urinary colour
abnormal|abnormal mitochondrial shape
abnormal|abnormal urinary odor
abnormal|abnormal urinary odour
arteritis|arteritis
abnormality|abnormality of pancreas morphology
abnormality|abnormality of pancreas physiology
abnormality|abnormality of exocrine pancreas physiology
abnormality|abnormality of endocrine pancreas physiology
abnormal|abnormal pancreas size
multiple|multiple joint dislocation
intracranial|intracranial epidermoid cyst
intracranial|intracranial dermoid cyst
edema|edema of the dorsum of feet
edema|edema of dorsum of feet
abnormality|abnormality of circulating catecholamine level
catecholamine|catecholamine levels abnormal
abnormal|abnormal circulating creatinine level
creatinine|creatinine levels abnormal
decreased|decreased serum creatinine
reduced|reduced creatinine levels
abnormal|abnormal mitochondrial number
abnormality|abnormality of the mitochondrion
parietal|parietal cortical atrophy
occipital|occipital cortical atrophy
rhizomelic|rhizomelic leg shortening
increased|increased fibular diameter
thick|thick fibula
wide|wide fibula
primary|primary open angle glaucoma
primary|primary angle closure glaucoma
hypoplasia|hypoplasia of the pons
abnormality|abnormality of circulating glucocorticoid level
abnormality|abnormality of circulating corticosterone level
abnormality|abnormality of creatine metabolism
endometrial|endometrial carcinoma
hepatitis|hepatitis
abnormal|abnormal albumin level
hyperalbuminemia|hyperalbuminemia
hyperalbuminaemia|hyperalbuminaemia
laryngeal|laryngeal carcinoma
cancer|cancer of the larynx
laryngeal|laryngeal cancer
methemoglobinemia|methemoglobinemia
methylmalonic|methylmalonic aciduria
methymalonicaciduria|methymalonicaciduria
panuveitis|panuveitis
anterior|anterior uveitis
posterior|posterior uveitis
intermediate|intermediate uveitis
prostate|prostate cancer
prostatic|prostatic cancer
stomach|stomach cancer
gastric|gastric cancer
uraciluria|uraciluria
basal|basal ganglia necrosis
abnormality|abnormality of bone marrow stromal cells
abnormality|abnormality of cells of the erythroid lineage
abnormal|abnormal number of erythroid precursors
erythroid|erythroid hyperplasia
erythroid|erythroid hypoplasia
dysplastic|dysplastic erythropoesis
abnormality|abnormality of cells of the granulocytic lineage
dysplastic|dysplastic granulopoesis
abnormal|abnormal number of granulocyte precursors
granulocytic|granulocytic hyperplasia
granulocytic|granulocytic hypoplasia
abnormality|abnormality of cells of the lymphoid lineage
lymphocvtosis|lymphocvtosis
pancreatic|pancreatic squamous cell carcinoma
squamous|squamous cell carcinoma of the pancreas
abnormality|abnormality of cells of the megakaryocyte lineage
abnormality|abnormality of cells of the monocyte/macrophage lineage
abnormality|abnormality of multiple cell lineages in the bone marrow
abnormality|abnormality of  von willebrand factor
reduced|reduced quantity of von willebrand factor
multiple|multiple lineage myelodysplasia
bilineage|bilineage myelodysplasia
single|single lineage myelodysplasia
hemothorax|hemothorax
foveoschisis|foveoschisis
hypotriglyceridemia|hypotriglyceridemia
anhedonia|anhedonia
decreased|decreased corneal sensation
corneal|corneal hypaesthesia
corneal|corneal hypesthesia
reduced|reduced corneal sensation
hemophagocytosis|hemophagocytosis
subcortical|subcortical cerebral atrophy
carotid|carotid artery dissection
internal|internal carotid artery dissection
intracranial|intracranial internal carotid artery dissection
external|external carotid artery dissection
common|common carotid artery dissection
carotid|carotid artery aneurysm
asterixis|asterixis
oligodactyly|oligodactyly
skin-picking|skin-picking
compulsive|compulsive skin picking
dermatillomania|dermatillomania
hair-pulling|hair-pulling
trichotillomania|trichotillomania
head-banging|head-banging
self-biting|self-biting
nail-biting|nail-biting
onychophagia|onychophagia
onychophagy|onychophagy
stereotypical|stereotypical hand wringing
stereotypical|stereotypical body rocking
orthostatic|orthostatic tachycardia
postural|postural tachycardia
glioblastoma|glioblastoma multiforme
resistance|resistance to activated protein c
activated|activated protein c resistance
abnormality|abnormality of natural killer cells
abnormal|abnormal natural killer cell physiology
reduced|reduced natural killer cell activity
craniofacial|craniofacial dystonia
cystic|cystic medial necrosis
entrapment|entrapment neuropathy
oropharyngeal|oropharyngeal squamous cell carcinoma
hyperplastic|hyperplastic colonic polyposis
hyperalphalipoproteinemia|hyperalphalipoproteinemia
constrictive|constrictive median neuropathy
entrapment|entrapment neuropathy of the ulnar nerve at elbow
increased|increased erythrocyte protoporphyrin concentration
hyperemesis|hyperemesis gravidarum
hodgkin's|hodgkin's lymphoma
t-cell|t-cell lymphoma
t|t cell lymphoma
b-cell|b-cell lymphoma
b|b cell lymphoma
cutaneous|cutaneous t-cell lymphoma
anaplastic|anaplastic large-cell lymphoma
episodic|episodic hemiplegia
irregular|irregular respiration
cheyne-stokes|cheyne-stokes respiration
periodic|periodic respiration
insulinoma|insulinoma
juvenile|juvenile colonic polyposis
cluster|cluster headache
abnormality|abnormality of prothrombin
reduced|reduced prothrombin activity
reduced|reduced factor ii activity
increased|increased serum bile acid concentration
onychomycosis|onychomycosis
recurrent|recurrent vulvovaginal candidiasis
globozoospermia|globozoospermia
abnormal|abnormal sperm motility
reduced|reduced sperm motility
nonmotile|nonmotile sperm
juvenile|juvenile myelomonocytic leukemia
abnormal|abnormal renal morphology
abnormal|abnormal renal physiology
abnormal|abnormal glomerular filtration rate
decreased|decreased glomerular filtration rate
increased|increased glomerular filtration rate
testicular|testicular microlithiasis
entrapment|entrapment neuropathy of suprascapular nerve
suprascapular|suprascapular nerve entrapment
increased|increased urinary porphobilinogen
alveolar|alveolar soft part sarcoma
erythema|erythema nodosum
non-caseating|non-caseating epithelioid cell granulomatosis
pretibial|pretibial blistering
pretibial|pretibial epidermolysis bullosa
arachnoid|arachnoid hemangiomatosis
splenic|splenic rupture
ruptured|ruptured spleen
circulating|circulating immune complexes
oligodontia|oligodontia of primary teeth
ovarian|ovarian teratoma
urethral|urethral stricture
tension-type|tension-type headache
csf|csf pleocytosis
cerebrospinal|cerebrospinal fluid pleocytosis
rhegmatogenous|rhegmatogenous retinal detachment
exudative|exudative retinal detachment
shortened|shortened qt interval
intramuscular|intramuscular hematoma
intramuscular|intramuscular haematoma
intramuscular|intramuscular hemorrhage
agranulocytosis|agranulocytosis
drug-induced|drug-induced agranulocytosis
elevated|elevated sweat chloride
urocanic|urocanic aciduria
hyperchylomicronemia|hyperchylomicronemia
increased|increased chylomicrons
atransferrinemia|atransferrinemia
increased|increased intramyocellular lipid droplets
levator|levator palpebrae superioris atrophy
superior|superior rectus atrophy
rectus|rectus superior atrophy 
abnormal|abnormal genital system morphology
abnormal|abnormal reproductive system morphology
abnormal|abnormal sex determination
sex|sex reversal
oculomotor|oculomotor nerve palsy
specific|specific anosmia
prolonged|prolonged pr interval
electrocardiographic|electrocardiographic long pr interval
lengthened|lengthened pr interval on ekg
abnormal|abnormal st segment
st|st segment depression
st|st segment elevation
abnormal|abnormal respiratory system morphology
abnormal|abnormal respiratory epithelium morphology
ewing's|ewing's sarcoma
ewing|ewing sarcoma
dynein|dynein arm defect of motile cilia
absent|absent outer dynein arms
absent|absent inner dynein arms
abnormal|abnormal axonemal organization of motile ciliasss
absent|absent inner and outer dynein arms
abnormal|abnormal central microtubular pair morphology of motile cilia
abnormal|abnormal respiratory motile cilium physiology
abnormal|abnormal ciliary motility
immotile|immotile cilia
absent|absent central microtubular pair morphology of motile cilia
ciliary|ciliary dyskinesia
t-wave|t-wave alternans
absent|absent ciliary axoneme radial spokes
myxoid|myxoid liposarcoma
abnormal|abnormal muscle glycogen content
decreased|decreased muscle glycogen content
episodic|episodic upper airway obstruction
j|j wave
ekg|ekg j waves
osborne|osborne waves
increased|increased carotid artery intimal medial thickness
autosomal|autosomal dominant inheritance with paternal imprinting
autosomal|autosomal dominant inheritance with maternal imprinting
digital|digital flexor tenosynovitis
hypoglycinemia|hypoglycinemia
abnormality|abnormality of serine metabolism
hyposerinemia|hyposerinemia
hepatic|hepatic amyloidosis
chylous|chylous ascites
chyloperitoneum|chyloperitoneum
morbilliform|morbilliform rash
small|small distal femoral epiphysis
small|small proximal tibial epiphyses
abnormal|abnormal hypothalamus physiology
abnormal|abnormal hypothalamus morphology
hypothalamic|hypothalamic luteinizing hormone-releasing hormone deficiency
early|early onset of puberty
malignant|malignant mesothelioma
pleural|pleural mesothelioma
peritoneal|peritoneal mesothelioma
pericardial|pericardial mesothelioma
testicular|testicular mesothelioma
neoplasm|neoplasm of the central nervous system
tumors|tumors of the central nervous system
neoplasm|neoplasm of the peripheral nervous system
tumor|tumor of the peripheral nervous system
schwannoma|schwannoma
neurilemmoma|neurilemmoma
neurinoma|neurinoma
neurolemmoma|neurolemmoma
schwann|schwann cell tumor
schwann|schwann cell tumour
intracranial|intracranial meningioma
spinal|spinal meningioma
scleral|scleral schwannoma
neoplasm|neoplasm of the eye
neoplasm|neoplasm of the breast
epiretinal|epiretinal membrane
macular|macular pucker
premacular|premacular fibrosis
stahl|stahl ear
additional|additional crus
antihelix|antihelix
satyr|satyr ear
spock|spock ear
third|third crus
vulcan|vulcan ear
abnormality|abnormality of the mesentery
capsular|capsular cataract
nuclear|nuclear cataract
cortical|cortical cataract
posterior|posterior capsular cataract
cerebral|cerebral palsy
cerebral|cerebral paralysis
abnormality|abnormality of movement
movement|movement disorder
recurrent|recurrent hand flapping
conspicuously|conspicuously happy disposition
conspicious|conspicious happy aspect
happy|happy aspect
overfriendliness|overfriendliness
arteriovenous|arteriovenous malformation
recurrent|recurrent pancreatitis
recurring|recurring pancreatitis
ectopic|ectopic thyroid
aberrant|aberrant thyroid
lingual|lingual thyroid
accessory|accessory ectopic thyroid tissue
neoplasm|neoplasm of the thyroid gland
tics|tics
tic|tic disorder
motor|motor tics
phonic|phonic tics
verbal|verbal tics
vocal|vocal tics
pseudo-fractures|pseudo-fractures
looser|looser zones
abnormality|abnormality of the scalp hair
slow-growing|slow-growing scalp hair
thickened|thickened cortex of bones
broad|broad 2nd toe
broad|broad 3rd toe
broad|broad 4th toe
broad|broad 5th toe
absent|absent epiphyses of the 2nd toe
bracket|bracket epiphyses of the 2nd toe
cone-shaped|cone-shaped epiphyses of the 2nd toe
enlarged|enlarged epiphyses of the 2nd toe
fragmentation|fragmentation of the epiphyses of the 2nd toe
irregular|irregular epiphyses of the 2nd toe
ivory|ivory epiphyses of the 2nd toe
pseudoepiphyses|pseudoepiphyses of the 2nd toe
small|small epiphyses of the 2nd toe
stippling|stippling of the epiphyses of the 2nd toe
triangular|triangular epiphyses of the 2nd toe
absent|absent epiphyses of the 3rd toe
bracket|bracket epiphyses of the 3rd toe
cone-shaped|cone-shaped epiphyses of the 3rd toe
enlarged|enlarged epiphyses of the 3rd toe
fragmentation|fragmentation of the epiphyses of the 3rd toe
irregular|irregular epiphyses of the 3rd toe
ivory|ivory epiphyses of the 3rd toe
pseudoepiphyses|pseudoepiphyses of the 3rd toe
small|small epiphyses of the 3rd toe
stippling|stippling of the epiphyses of the 3rd toe
triangular|triangular epiphyses of the 3rd toe
absent|absent epiphyses of the 4th toe
bracket|bracket epiphyses of the 4th toe
cone-shaped|cone-shaped epiphyses of the 4th toe
enlarged|enlarged epiphyses of the 4th toe
fragmentation|fragmentation of the epiphyses of the 4th toe
irregular|irregular epiphyses of the 4th toe
ivory|ivory epiphyses of the 4th toe
pseudoepiphyses|pseudoepiphyses of the 4th toe
small|small epiphyses of the 4th toe
stippling|stippling of the epiphyses of the 4th toe
triangular|triangular epiphyses of the 4th toe
absent|absent epiphyses of the 5th toe
bracket|bracket epiphyses of the 5th toe
cone-shaped|cone-shaped epiphyses of the 5th toe
enlarged|enlarged epiphyses of the 5th toe
fragmentation|fragmentation of the epiphyses of the 5th toe
irregular|irregular epiphyses of the 5th toe
ivory|ivory epiphyses of the 5th toe
pseudoepiphyses|pseudoepiphyses of the 5th toe
small|small epiphyses of the 5th toe
stippling|stippling of the epiphyses of the 5th toe
triangular|triangular epiphyses of the 5th toe
abnormality|abnormality of the epiphysis of the distal phalanx of the 2nd toe
abnormality|abnormality of the epiphysis of the middle phalanx of the 2nd toe
abnormality|abnormality of the epiphysis of the proximal phalanx of the 2nd toe
abnormality|abnormality of the epiphysis of the distal phalanx of the 3rd toe
abnormality|abnormality of the epiphysis of the middle phalanx of the 3rd toe
abnormality|abnormality of the epiphysis of the proximal phalanx of the 3rd toe
abnormality|abnormality of the epiphysis of the distal phalanx of the 4th toe
abnormality|abnormality of the epiphysis of the middle phalanx of the 4th toe
abnormality|abnormality of the epiphysis of the proximal phalanx of the 4th toe
abnormality|abnormality of the epiphysis of the distal phalanx of the 5th toe
abnormality|abnormality of the epiphysis of the middle phalanx of the 5th toe
abnormality|abnormality of the epiphysis of the proximal phalanx of the 5th toe
absent|absent epiphysis of the distal phalanx of the 2nd toe
bracket|bracket epiphysis of the distal phalanx of the 2nd toe
cone-shaped|cone-shaped epiphysis of the distal phalanx of the 2nd toe
enlarged|enlarged epiphysis of the distal phalanx of the 2nd toe
fragmentation|fragmentation of the epiphysis of the distal phalanx of the 2nd toe
irregular|irregular epiphysis of the distal phalanx of the 2nd toe
ivory|ivory epiphysis of the distal phalanx of the 2nd toe
pseudoepiphysis|pseudoepiphysis of the distal phalanx of the 2nd toe
small|small epiphysis of the distal phalanx of the 2nd toe
stippling|stippling of the epiphysis of the distal phalanx of the 2nd toe
triangular|triangular epiphysis of the distal phalanx of the 2nd toe
absent|absent epiphysis of the middle phalanx of the 2nd toe
bracket|bracket epiphysis of the middle phalanx of the 2nd toe
cone-shaped|cone-shaped epiphysis of the middle phalanx of the 2nd toe
enlarged|enlarged epiphysis of the middle phalanx of the 2nd toe
fragmentation|fragmentation of the epiphysis of the middle phalanx of the 2nd toe
irregular|irregular epiphysis of the middle phalanx of the 2nd toe
ivory|ivory epiphysis of the middle phalanx of the 2nd toe
pseudoepiphysis|pseudoepiphysis of the middle phalanx of the 2nd toe
small|small epiphysis of the middle phalanx of the 2nd toe
stippling|stippling of the epiphysis of the middle phalanx of the 2nd toe
triangular|triangular epiphysis of the middle phalanx of the 2nd toe
absent|absent epiphysis of the proximal phalanx of the 2nd toe
bracket|bracket epiphysis of the proximal phalanx of the 2nd toe
cone-shaped|cone-shaped epiphysis of the proximal phalanx of the 2nd toe
enlarged|enlarged epiphysis of the proximal phalanx of the 2nd toe
fragmentation|fragmentation of the epiphysis of the proximal phalanx of the 2nd toe
irregular|irregular epiphysis of the proximal phalanx of the 2nd toe
ivory|ivory epiphysis of the proximal phalanx of the 2nd toe
pseudoepiphysis|pseudoepiphysis of the proximal phalanx of the 2nd toe
small|small epiphysis of the proximal phalanx of the 2nd toe
stippling|stippling of the epiphysis of the proximal phalanx of the 2nd toe
triangular|triangular epiphysis of the proximal phalanx of the 2nd toe
abnormality|abnormality of the pubic hair
abnormality|abnormality of the axillary hair
absent|absent epiphysis of the distal phalanx of the 3rd toe
bracket|bracket epiphysis of the distal phalanx of the 3rd toe
cone-shaped|cone-shaped epiphysis of the distal phalanx of the 3rd toe
enlarged|enlarged epiphysis of the distal phalanx of the 3rd toe
fragmentation|fragmentation of the epiphysis of the distal phalanx of the 3rd toe
irregular|irregular epiphysis of the distal phalanx of the 3rd toe
ivory|ivory epiphysis of the distal phalanx of the 3rd toe
pseudoepiphysis|pseudoepiphysis of the distal phalanx of the 3rd toe
small|small epiphysis of the distal phalanx of the 3rd toe
stippling|stippling of the epiphysis of the distal phalanx of the 3rd toe
triangular|triangular epiphysis of the distal phalanx of the 3rd toe
absent|absent epiphysis of the middle phalanx of the 3rd toe
bracket|bracket epiphysis of the middle phalanx of the 3rd toe
cone-shaped|cone-shaped epiphysis of the middle phalanx of the 3rd toe
enlarged|enlarged epiphysis of the middle phalanx of the 3rd toe
fragmentation|fragmentation of the epiphysis of the middle phalanx of the 3rd toe
irregular|irregular epiphysis of the middle phalanx of the 3rd toe
ivory|ivory epiphysis of the middle phalanx of the 3rd toe
pseudoepiphysis|pseudoepiphysis of the middle phalanx of the 3rd toe
small|small epiphysis of the middle phalanx of the 3rd toe
stippling|stippling of the epiphysis of the middle phalanx of the 3rd toe
triangular|triangular epiphysis of the middle phalanx of the 3rd toe
absent|absent epiphysis of the proximal phalanx of the 3rd toe
bracket|bracket epiphysis of the proximal phalanx of the 3rd toe
cone-shaped|cone-shaped epiphysis of the proximal phalanx of the 3rd toe
enlarged|enlarged epiphysis of the proximal phalanx of the 3rd toe
fragmentation|fragmentation of the epiphysis of the proximal phalanx of the 3rd toe
irregular|irregular epiphysis of the proximal phalanx of the 3rd toe
ivory|ivory epiphysis of the proximal phalanx of the 3rd toe
pseudoepiphysis|pseudoepiphysis of the proximal phalanx of the 3rd toe
small|small epiphysis of the proximal phalanx of the 3rd toe
stippling|stippling of the epiphysis of the proximal phalanx of the 3rd toe
triangular|triangular epiphysis of the proximal phalanx of the 3rd toe
fragmented|fragmented epiphyses
absent|absent epiphysis of the distal phalanx of the 4th toe
bracket|bracket epiphysis of the distal phalanx of the 4th toe
cone-shaped|cone-shaped epiphysis of the distal phalanx of the 4th toe
enlarged|enlarged epiphysis of the distal phalanx of the 4th toe
fragmentation|fragmentation of the epiphysis of the distal phalanx of the 4th toe
irregular|irregular epiphysis of the distal phalanx of the 4th toe
ivory|ivory epiphysis of the distal phalanx of the 4th toe
pseudoepiphysis|pseudoepiphysis of the distal phalanx of the 4th toe
small|small epiphysis of the distal phalanx of the 4th toe
stippling|stippling of the epiphysis of the distal phalanx of the 4th toe
triangular|triangular epiphysis of the distal phalanx of the 4th toe
absent|absent epiphysis of the middle phalanx of the 4th toe
bracket|bracket epiphysis of the middle phalanx of the 4th toe
cone-shaped|cone-shaped epiphysis of the middle phalanx of the 4th toe
enlarged|enlarged epiphysis of the middle phalanx of the 4th toe
fragmentation|fragmentation of the epiphysis of the middle phalanx of the 4th toe
irregular|irregular epiphysis of the middle phalanx of the 4th toe
ivory|ivory epiphysis of the middle phalanx of the 4th toe
pseudoepiphysis|pseudoepiphysis of the middle phalanx of the 4th toe
small|small epiphysis of the middle phalanx of the 4th toe
stippling|stippling of the epiphysis of the middle phalanx of the 4th toe
triangular|triangular epiphysis of the middle phalanx of the 4th toe
absent|absent epiphysis of the proximal phalanx of the 4th toe
bracket|bracket epiphysis of the proximal phalanx of the 4th toe
cone-shaped|cone-shaped epiphysis of the proximal phalanx of the 4th toe
enlarged|enlarged epiphysis of the proximal phalanx of the 4th toe
fragmentation|fragmentation of the epiphysis of the proximal phalanx of the 4th toe
irregular|irregular epiphysis of the proximal phalanx of the 4th toe
ivory|ivory epiphysis of the proximal phalanx of the 4th toe
pseudoepiphysis|pseudoepiphysis of the proximal phalanx of the 4th toe
small|small epiphysis of the proximal phalanx of the 4th toe
stippling|stippling of the epiphysis of the proximal phalanx of the 4th toe
triangular|triangular epiphysis of the proximal phalanx of the 4th toe
absent|absent epiphysis of the distal phalanx of the 5th toe
bracket|bracket epiphysis of the distal phalanx of the 5th toe
cone-shaped|cone-shaped epiphysis of the distal phalanx of the 5th toe
enlarged|enlarged epiphysis of the distal phalanx of the 5th toe
fragmentation|fragmentation of the epiphysis of the distal phalanx of the 5th toe
irregular|irregular epiphysis of the distal phalanx of the 5th toe
ivory|ivory epiphysis of the distal phalanx of the 5th toe
pseudoepiphysis|pseudoepiphysis of the distal phalanx of the 5th toe
small|small epiphysis of the distal phalanx of the 5th toe
stippling|stippling of the epiphysis of the distal phalanx of the 5th toe
triangular|triangular epiphysis of the distal phalanx of the 5th toe
absent|absent epiphysis of the middle phalanx of the 5th toe
bracket|bracket epiphysis of the middle phalanx of the 5th toe
cone-shaped|cone-shaped epiphysis of the middle phalanx of the 5th toe
enlarged|enlarged epiphysis of the middle phalanx of the 5th toe
fragmentation|fragmentation of the epiphysis of the middle phalanx of the 5th toe
irregular|irregular epiphysis of the middle phalanx of the 5th toe
ivory|ivory epiphysis of the middle phalanx of the 5th toe
pseudoepiphysis|pseudoepiphysis of the middle phalanx of the 5th toe
small|small epiphysis of the middle phalanx of the 5th toe
stippling|stippling of the epiphysis of the middle phalanx of the 5th toe
triangular|triangular epiphysis of the middle phalanx of the 5th toe
absent|absent epiphysis of the proximal phalanx of the 5th toe
bracket|bracket epiphysis of the proximal phalanx of the 5th toe
cone-shaped|cone-shaped epiphysis of the proximal phalanx of the 5th toe
enlarged|enlarged epiphysis of the proximal phalanx of the 5th toe
fragmentation|fragmentation of the epiphysis of the proximal phalanx of the 5th toe
irregular|irregular epiphysis of the proximal phalanx of the 5th toe
ivory|ivory epiphysis of the proximal phalanx of the 5th toe
pseudoepiphysis|pseudoepiphysis of the proximal phalanx of the 5th toe
small|small epiphysis of the proximal phalanx of the 5th toe
stippling|stippling of the epiphysis of the proximal phalanx of the 5th toe
triangular|triangular epiphysis of the proximal phalanx of the 5th toe
synostosis|synostosis involving bones of the toes
proximal|proximal symphalangism (feet)
synostosis|synostosis involving bones of the upper limbs
synostosis|synostosis of joints
ectopic|ectopic respiratory mucosa
sarcoma|sarcoma
leiomyosarcoma|leiomyosarcoma
fibrosarcoma|fibrosarcoma
desmoid|desmoid tumors
osteoma|osteoma
recurrent|recurrent singultus
recurrent|recurrent hiccough
recurrent|recurrent hiccup
recurrent|recurrent synchronous diaphragmatic flutter
hemiballismus|hemiballismus
calcification|calcification of muscles
meningeal|meningeal calcification
lipomas|lipomas of the central neryous system
diaphyseal|diaphyseal dysplasia
abnormality|abnormality of the medullary cavity of the long bones
abnormality|abnormality of the marrow cavity of the long bones
stenosis|stenosis of the medullary cavity of the long bones
metaphyseal|metaphyseal dysplasia
senile|senile plaques
braindruse|braindruse
neuritic|neuritic plaques
senile|senile druse
ectrodactyly|ectrodactyly
preaxial|preaxial polydactyly
postaxial|postaxial polydactyly
postaxial|postaxial hexadactyly
mesoaxial|mesoaxial polydactyly
central|central polydactyly
intercalary|intercalary polydactyly
abnormal|abnormal tendon morphology
abnormality|abnormality of the sinew
synostosis|synostosis involving digits
distal|distal symphalangism
proximal|proximal symphalangism
synostosis|synostosis of metacarpals/metatarsals
synostosis|synostosis of carpals/tarsals
carpal|carpal and tarsal fusions
coalescence|coalescence of carpal and tarsal bones
fusion|fusion of carpal and tarsal bones
lip|lip pit
upper|upper lip pit
paramedian|paramedian lip pit
abnormality|abnormality of dorsoventral patterning of the limbs
hyponasal|hyponasal speech
branchial|branchial sinus
neoplasm|neoplasm of the colon
gustatory|gustatory lacrimation
diffuse|diffuse cerebellar atrophy
skin|skin pits
periauricular|periauricular skin pits
ulcerative|ulcerative colitis
colitis|colitis ulcerosa
crohn's|crohn's disease
granulomatous|granulomatous enteritis and colitis
morbus|morbus crohn
chronic|chronic colitis
acute|acute colitis
emg:|emg: continuous motor unit activity at rest
emg:|emg: myotonic discharges
emg:|emg: impaired neuromuscular transmission
emg:|emg: slow motor conduction
emg:|emg: myokymic discharges
abnormality|abnormality of pattern reversal visual evoked potentials
abnormality|abnormality of peripheral somatosensory evoked potentials
abnormality|abnormality of central somatosensory evoked potentials
amyloidosis|amyloidosis of peripheral nerves
muscle|muscle fiber hypertrophy
muscle|muscle fibre hypertrophy
muscle|muscle fiber atrophy
muscle|muscle fiber hypotrophy
perifascicular|perifascicular muscle fiber atrophy
increased|increased endomysial connective tissue
motheaten|motheaten muscle fibers
muscle|muscle fiber inclusion bodies
desmin|desmin bodies
muscle|muscle fiber desmin-reactive inclusion bodies
muscle|muscle fiber tubular inclusions
muscle|muscle fiber tubular aggregates
muscle|muscle fiber tubuloreticular inclusions
muscle|muscle fiber tubuloreticular aggregates
muscle|muscle fiber cytoplasmatic inclusion bodies
muscle|muscle fiber intranuclear inclusion bodies
ring|ring fibers
muscle|muscle fiber hyaline bodies
cerebellar|cerebellar hemisphere hypoplasia
cerebral|cerebral cortical hemiatrophy
subdural|subdural hemorrhage
subdural|subdural haematoma
epidural|epidural hemorrhage
epidural|epidural haematoma
epidural|epidural hematoma
extradural|extradural haematoma
extradural|extradural hematoma
cerebral|cerebral ventricular adhesions
cerebral|cerebral germinoma
cerebral|cerebral granulomatosis
cerebral|cerebral inclusion bodies
lewy|lewy bodies
